epoch,acc,certificate,loss,val_acc,val_certificate,val_loss
0,0.8337506677350427,0.0,-0.04647152102751355,0.9271,0.0003,-0.06715147557258606
1,0.8883713942307693,0.0005174946581196581,-0.061201647911061585,0.9419,0.0009,-0.07698156106472015
2,0.9034106092998396,0.0020543826830571885,-0.07145740726951735,0.9427,0.002,-0.08627889668941498
3,0.9086229946842805,0.003609625668449198,-0.0811837091962284,0.9479,0.0033,-0.09599954723119736
4,0.9129440438034188,0.005892761752136752,-0.0909603013155552,0.9483,0.0061,-0.10591386212110519
5,0.915319347974134,0.009887760556350253,-0.1021729221020963,0.9508,0.0115,-0.11627033574581146
6,0.9220254010057705,0.016042780749659168,-0.11186122821773438,0.9519,0.0176,-0.12679304280281067
7,0.9232438568376068,0.024272168803418804,-0.12201888518583061,0.9517,0.0259,-0.13716480836868286
8,0.9182859241452992,0.03281917735042735,-0.13114496858583558,0.9513,0.0366,-0.14764831509590148
9,0.923455056147884,0.04061329588114641,-0.1415185693226886,0.9514,0.046,-0.15825923428535463
10,0.9184361645299145,0.055505475427350424,-0.14930854820542866,0.9531,0.0637,-0.16897063810825347
11,0.9198217147435898,0.0712139423076923,-0.15906603943206307,0.9526,0.0901,-0.17928432161808014
12,0.9193251739535631,0.08923555376609103,-0.16636688968215543,0.9534,0.1182,-0.18954439346790314
13,0.919921875,0.11094417735042734,-0.17454535495012236,0.954,0.1434,-0.19833553650379182
14,0.9205562232905983,0.13167735042735043,-0.1828810449084665,0.9523,0.1726,-0.20702482709884643
15,0.9224852862493312,0.15956059387656316,-0.19141133470035224,0.9528,0.2007,-0.2153132228374481
16,0.9207899305555556,0.1796875,-0.19561040519267067,0.9534,0.2349,-0.22339878554344178
17,0.9199719551282052,0.199352297008547,-0.20002146928101525,0.9533,0.2635,-0.23021110467910766
18,0.9199605403002601,0.221609149301607,-0.2071816429471893,0.954,0.2917,-0.23706090097427368
19,0.9236611912393162,0.24579326923076922,-0.21415828324408612,0.9545,0.3217,-0.24326040077209474
20,0.9171173878205128,0.2663094284188034,-0.21728178890597108,0.9541,0.3459,-0.24884194374084473
21,0.9193753343715331,0.2837245853078627,-0.22071918204163662,0.9543,0.365,-0.2534878186225891
